outcome_id,outcome_label,paper_order,moderator_id,moderator_label,moderator_order,moderator_tier,value_label,raw_value,standardized_value,estimate,standard_error,pvalue,ci_low,ci_high,control_sd,standardized_estimate,standardized_ci_low,standardized_ci_high,gate_pass,gate_status
I05,Employed in the reference week,5,S05,CCPP altitude,8,secondary,P25,2950,-.23811537,-67.553352,112.56358,.54841626,-288.17392,153.06723,49.875793,-1.3544315,-5.7778311,3.0689681,0,underidentified
I05,Employed in the reference week,5,S05,CCPP altitude,8,secondary,P50,3372,.25928947,-18.924665,17.867382,.28952056,-53.944088,16.094759,49.875793,-.37943587,-1.0815685,.32269681,0,underidentified
I05,Employed in the reference week,5,S05,CCPP altitude,8,secondary,P75,3675,.61643088,15.991191,64.763741,.80497336,-110.94341,142.9258,49.875793,.32062027,-2.2243938,2.8656342,0,underidentified
I06,Any health insurance,6,S05,CCPP altitude,8,secondary,P25,2950,-.23811537,-86.66864,184.86958,.63920569,-449.00635,275.66907,32.218452,-2.6900313,-13.936311,8.5562487,0,underidentified
I06,Any health insurance,6,S05,CCPP altitude,8,secondary,P50,3372,.25928947,-6.3251057,28.146133,.82219416,-61.490513,48.840302,32.218452,-.19631936,-1.9085495,1.5159109,0,underidentified
I06,Any health insurance,6,S05,CCPP altitude,8,secondary,P75,3675,.61643088,51.362312,107.69376,.63341242,-159.71358,262.4382,32.218452,1.5941894,-4.9572082,8.145587,0,underidentified
I07,Reports any disability,7,S05,CCPP altitude,8,secondary,P25,2950,-.23811537,-47.001595,96.823402,.6273669,-236.77197,142.76878,38.244625,-1.2289724,-6.1909866,3.7330418,0,underidentified
I07,Reports any disability,7,S05,CCPP altitude,8,secondary,P50,3372,.25928947,-9.7389956,12.360869,.43076152,-33.965855,14.487864,38.244625,-.25465006,-.88812101,.3788209,0,underidentified
I07,Reports any disability,7,S05,CCPP altitude,8,secondary,P75,3675,.61643088,17.015902,57.136925,.76584882,-94.970413,129.00221,38.244625,.44492272,-2.4832356,3.373081,0,underidentified
I08,Core wellbeing proxy,8,S05,CCPP altitude,8,secondary,P25,2950,-.23811537,75.596489,131.51247,.56541049,-182.16321,333.3562,23.6752,3.1930668,-7.6942635,14.080397,0,underidentified
I08,Core wellbeing proxy,8,S05,CCPP altitude,8,secondary,P50,3372,.25928947,10.925117,20.005423,.58499187,-28.284792,50.135025,23.6752,.46145833,-1.1947013,2.1176181,0,underidentified
I08,Core wellbeing proxy,8,S05,CCPP altitude,8,secondary,P75,3675,.61643088,-35.509541,77.132759,.64525127,-186.68697,115.66788,23.6752,-1.4998624,-7.8853388,4.8856139,0,underidentified
