grid_scope,cutoff,treatment_year,candidate_cells,support_cells,successful_cells,positive_ci_cells,strong_positive_cells,median_tau,max_tau,max_robust_wald,max_effective_n
dept_subset,cd,2014,127,126,126,0,0,-.0084734150205342,.3471834131050779,5.72662169808329,384
dept_subset,cd,2015,127,126,126,0,0,-.0084734150205342,.3471834131050779,5.72662169808329,384
dept_subset,cd,2016,127,126,126,0,0,-.0067695744353882,.3471834131050779,5.72662169808329,384
dept_subset,cd,2017,127,126,126,0,0,-.0067695744353882,.3471998045553,5.72662169808329,384
dept_subset,cd,2018,127,126,126,0,0,-.0067710431253846,.3470624822133542,5.709419432581004,371
dept_subset,cd,2019,127,126,126,2,0,-.0118101928448304,.5301956337464313,10.98111005779687,312
dept_subset,cd,2020,127,126,126,19,0,.1064249026659249,.6416524722525229,11.09241932463248,401
dept_subset,cd,2021,127,126,126,11,0,.1218210689165377,.4814212479913715,7.047325826168482,340
dept_subset,cd,2022,127,126,126,32,0,.1235779275732661,.5079477989992864,8.795226469948862,422
dept_subset,cd,2023,127,126,126,28,0,.0784586731781387,.5957004592333592,8.434691732218143,522
dept_subset,de,2007,127,0,0,0,0,,,,
dept_subset,de,2008,127,64,64,0,0,0,0,2.19717462673198,212
dept_subset,de,2009,127,124,124,0,0,-.0997319651001294,0,8.867266324245414,465
dept_subset,de,2010,127,126,126,0,0,-.0903293684174289,.0194473142590354,4.929804752841554,254
dept_subset,de,2011,127,126,124,0,0,-.0864889891911703,.0772212125613466,5.371617723621455,311
dept_subset,de,2012,127,126,124,0,0,-.0916119947905286,.0392441213490202,6.475287775415159,311
dept_subset,de,2013,127,126,125,0,0,-.0767545955278602,.0392441213490202,4.264908548113268,226
dept_subset,de,2014,127,126,123,0,0,-.0651118990762662,.0410627126563131,5.211995693631253,226
dept_subset,de,2015,127,126,123,0,0,-.0651118990762662,.0410627126563131,5.211995693631253,226
dept_subset,de,2016,127,126,123,0,0,-.0651118990762662,.0410627126563131,5.211995693631253,226
dept_subset,de,2017,127,126,123,0,0,-.0651118990762662,.0410627126563131,5.211995693631253,226
dept_subset,de,2018,127,126,123,0,0,-.0651118990762662,.0410627126563131,5.211995693631253,226
dept_subset,de,2019,127,126,124,0,0,-.0722489328224061,.0410627126563131,5.211995693631253,226
dept_subset,de,2020,127,126,126,0,0,-.0603332257069518,.0772382320797674,5.803529821836703,288
dept_subset,de,2021,127,126,126,0,0,-.0433520382185102,.1078956120528434,2.952014872526437,227
dept_subset,de,2022,127,126,113,2,0,-.1085668236000752,1.270574015382992,4.216884730288464,283
dept_subset,de,2023,127,126,111,0,0,.0814765208316892,1.779999999999998,2.175848902528409,227
